source_url,source_name,source_page_type,extraction_timestamp,race_id,meeting_id,race_date,racecourse,race_no,race_name,class,rating_band,distance,surface,course,going,prize_money,field_size,raw_class_distance,raw_race_header
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:50:01.596755+00:00,2026-03-01-ST-2,476,2026-03-01,ST,2,CITI PRIVATE BANK HANDICAP,Class 4,60-40,1400,,"TURF - ""B+2"" Course",GOOD,"HK$ 1,170,000",14,Class 4 - 1400M - (60-40),RACE 2 (476)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,2026-03-01-ST-3,477,2026-03-01,ST,3,CITIGOLD PRIVATE CLIENT HANDICAP,Class 4,60-40,1400,,"TURF - ""B+2"" Course",GOOD,"HK$ 1,170,000",14,Class 4 - 1400M - (60-40),RACE 3 (477)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,2026-03-01-ST-4,478,2026-03-01,ST,4,CITIGOLD HANDICAP,Class 4,60-40,1200,,"TURF - ""B+2"" Course",GOOD,"HK$ 1,170,000",14,Class 4 - 1200M - (60-40),RACE 4 (478)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:50:15.759928+00:00,2026-03-01-ST-5,479,2026-03-01,ST,5,CITI ULTIMA HANDICAP,Class 4,60-40,1200,,"TURF - ""B+2"" Course",GOOD,"HK$ 1,170,000",15,Class 4 - 1200M - (60-40),RACE 5 (479)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=6,HKJC,Results,2026-04-27T07:50:20.401867+00:00,2026-03-01-ST-6,480,2026-03-01,ST,6,CITI WEALTH ADVISORY SERVICES HANDICAP,Class 3,80-60,1200,,"TURF - ""B+2"" Course",GOOD,"HK$ 1,860,000",11,Class 3 - 1200M - (80-60),RACE 6 (480)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=7,HKJC,Results,2026-04-27T07:50:24.706335+00:00,2026-03-01-ST-7,481,2026-03-01,ST,7,THE CITI HONG KONG GOLD CUP,,,2000,,"TURF - ""B+2"" Course",GOOD,"HK$ 13,000,000",6,Group One - 2000M,RACE 7 (481)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=8,HKJC,Results,2026-04-27T07:50:28.471401+00:00,2026-03-01-ST-8,482,2026-03-01,ST,8,CITI INSURANCE SERVICES HANDICAP,Class 3,80-60,1200,,"TURF - ""B+2"" Course",GOOD,"HK$ 1,860,000",11,Class 3 - 1200M - (80-60),RACE 8 (482)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=9,HKJC,Results,2026-04-27T07:50:33.115547+00:00,2026-03-01-ST-9,483,2026-03-01,ST,9,THE HONG KONG CLASSIC CUP,,,1800,,"TURF - ""B+2"" Course",GOOD,"HK$ 13,000,000",14,4 Year Olds - 1800M,RACE 9 (483)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=10,HKJC,Results,2026-04-27T07:50:37.702532+00:00,2026-03-01-ST-10,484,2026-03-01,ST,10,CITI INVESTMENT SERVICES HANDICAP,Class 3,85-60,2000,,"TURF - ""B+2"" Course",GOOD,"HK$ 2,050,000",14,Class 3 - 2000M - (85-60),RACE 10 (484)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=11,HKJC,Results,2026-04-27T07:50:41.783506+00:00,2026-03-01-ST-11,485,2026-03-01,ST,11,CITI CREDIT CARD HANDICAP,Class 2,100-75,1400,,"TURF - ""B+2"" Course",GOOD,"HK$ 2,840,000",12,Class 2 - 1400M - (100-75),RACE 11 (485)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=2,HKJC,Results,2026-04-27T07:50:45.996274+00:00,2026-03-04-HV-2,487,2026-03-04,HV,2,INTERCONTINENTAL LIMOUSINE HANDICAP,Class 5,40-0,1200,,"TURF - ""C"" Course",GOOD TO YIELDING,"HK$ 875,000",12,Class 5 - 1200M - (40-0),RACE 2 (487)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=3,HKJC,Results,2026-04-27T07:50:49.983680+00:00,2026-03-04-HV-3,488,2026-03-04,HV,3,TRANS-ISLAND CHINALINK HANDICAP,Class 4,60-40,2200,,"TURF - ""C"" Course",GOOD,"HK$ 1,170,000",13,Class 4 - 2200M - (60-40),RACE 3 (488)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=4,HKJC,Results,2026-04-27T07:50:52.898755+00:00,2026-03-04-HV-4,489,2026-03-04,HV,4,KC SMART MOBILITY HANDICAP,Class 4,60-40,1200,,"TURF - ""C"" Course",GOOD,"HK$ 1,170,000",13,Class 4 - 1200M - (60-40),RACE 4 (489)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=5,HKJC,Results,2026-04-27T07:50:55.625215+00:00,2026-03-04-HV-5,490,2026-03-04,HV,5,KWOON CHUNG MACAU LIMOUSINE RENTAL SERVICES HANDICAP,Class 4,60-40,1200,,"TURF - ""C"" Course",GOOD,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 5 (490)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=6,HKJC,Results,2026-04-27T07:50:59.332215+00:00,2026-03-04-HV-6,491,2026-03-04,HV,6,THE KWOON CHUNG BUS CUP (HANDICAP),Class 3,80-60,1200,,"TURF - ""C"" Course",GOOD,"HK$ 1,860,000",10,Class 3 - 1200M - (80-60),RACE 6 (491)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=7,HKJC,Results,2026-04-27T07:51:01.834400+00:00,2026-03-04-HV-7,492,2026-03-04,HV,7,KWOON CHUNG INCLUSIVE & ACCESSIBLE SERVICE HANDICAP,Class 4,60-40,1650,,"TURF - ""C"" Course",GOOD,"HK$ 1,170,000",12,Class 4 - 1650M - (60-40),RACE 7 (492)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=8,HKJC,Results,2026-04-27T07:51:05.955297+00:00,2026-03-04-HV-8,493,2026-03-04,HV,8,NEW LANTAO BUS HANDICAP,Class 3,80-60,1200,,"TURF - ""C"" Course",GOOD,"HK$ 1,860,000",10,Class 3 - 1200M - (80-60),RACE 8 (493)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/04&Racecourse=HV&RaceNo=9,HKJC,Results,2026-04-27T07:51:10.140351+00:00,2026-03-04-HV-9,494,2026-03-04,HV,9,SICHUAN BIPENGGOU TOURIST ATTRACTIONS HANDICAP,Class 3,80-60,1650,,"TURF - ""C"" Course",GOOD,"HK$ 2,050,000",12,Class 3 - 1650M - (80-60),RACE 9 (494)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:51:12.760015+00:00,2026-03-08-ST-2,496,2026-03-08,ST,2,SOMERSET HANDICAP,Class 5,40-0,1400,,"TURF - ""C"" Course",GOOD,"HK$ 875,000",15,Class 5 - 1400M - (40-0),RACE 2 (496)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:51:17.732201+00:00,2026-03-08-ST-3,497,2026-03-08,ST,3,RUTLAND HANDICAP,Class 4,60-40,1200,,ALL WEATHER TRACK,GOOD,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 3 (497)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:51:21.800591+00:00,2026-03-08-ST-4,498,2026-03-08,ST,4,RUTLAND HANDICAP,Class 4,60-40,1200,,ALL WEATHER TRACK,GOOD,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 4 (498)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:51:26.491954+00:00,2026-03-08-ST-5,499,2026-03-08,ST,5,NORFOLK HANDICAP,Class 4,60-40,1600,,"TURF - ""C"" Course",GOOD,"HK$ 1,170,000",14,Class 4 - 1600M - (60-40),RACE 5 (499)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=6,HKJC,Results,2026-04-27T07:51:31.089549+00:00,2026-03-08-ST-6,500,2026-03-08,ST,6,KENT HANDICAP,Class 4,60-40,1200,,"TURF - ""C"" Course",GOOD,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 6 (500)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=7,HKJC,Results,2026-04-27T07:51:33.865700+00:00,2026-03-08-ST-7,501,2026-03-08,ST,7,DEVON HANDICAP,Class 2,100-70,1800,,"TURF - ""C"" Course",GOOD,"HK$ 3,120,000",10,Class 2 - 1800M - (100-70),RACE 7 (501)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=8,HKJC,Results,2026-04-27T07:51:38.351771+00:00,2026-03-08-ST-8,502,2026-03-08,ST,8,CORNWALL HANDICAP,Class 3,85-60,1200,,ALL WEATHER TRACK,GOOD,"HK$ 1,860,000",13,Class 3 - 1200M - (85-60),RACE 8 (502)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=9,HKJC,Results,2026-04-27T07:51:42.288114+00:00,2026-03-08-ST-9,503,2026-03-08,ST,9,THE KOWLOON TONG CLUB TROPHY (HANDICAP),Class 3,85-60,1600,,"TURF - ""C"" Course",GOOD,"HK$ 2,050,000",14,Class 3 - 1600M - (85-60),RACE 9 (503)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=10,HKJC,Results,2026-04-27T07:51:46.557936+00:00,2026-03-08-ST-10,504,2026-03-08,ST,10,ESSEX HANDICAP,Class 1,85+,1200,,"TURF - ""C"" Course",GOOD,"HK$ 3,720,000",12,Class 1 - 1200M - (85+),RACE 10 (504)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/08&Racecourse=ST&RaceNo=11,HKJC,Results,2026-04-27T07:51:50.603683+00:00,2026-03-08-ST-11,505,2026-03-08,ST,11,CUMBERLAND HANDICAP,Class 3,80-60,1400,,"TURF - ""C"" Course",GOOD,"HK$ 1,860,000",14,Class 3 - 1400M - (80-60),RACE 11 (505)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=2,HKJC,Results,2026-04-27T07:51:54.623542+00:00,2026-03-11-HV-2,507,2026-03-11,HV,2,BREEZY HANDICAP,Class 4,60-40,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 2 (507)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=3,HKJC,Results,2026-04-27T07:51:57.411330+00:00,2026-03-11-HV-3,508,2026-03-11,HV,3,HATTON HANDICAP,Class 4,60-40,1650,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1650M - (60-40),RACE 3 (508)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=4,HKJC,Results,2026-04-27T07:52:01.032441+00:00,2026-03-11-HV-4,509,2026-03-11,HV,4,HATTON HANDICAP,Class 4,60-40,1650,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1650M - (60-40),RACE 4 (509)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=5,HKJC,Results,2026-04-27T07:52:04.253137+00:00,2026-03-11-HV-5,510,2026-03-11,HV,5,THE CRAIGENGOWER CRICKET CLUB CHALLENGE CUP (HANDICAP),Class 3,80-55,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,860,000",10,Class 3 - 1200M - (80-55),RACE 5 (510)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=6,HKJC,Results,2026-04-27T07:52:07.023511+00:00,2026-03-11-HV-6,511,2026-03-11,HV,6,BREEZY HANDICAP,Class 4,60-40,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 6 (511)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=7,HKJC,Results,2026-04-27T07:52:11.514475+00:00,2026-03-11-HV-7,512,2026-03-11,HV,7,BREEZY HANDICAP,Class 4,60-40,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 7 (512)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=8,HKJC,Results,2026-04-27T07:52:15.205156+00:00,2026-03-11-HV-8,513,2026-03-11,HV,8,BONHAM HANDICAP,Class 3,80-55,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,860,000",11,Class 3 - 1200M - (80-55),RACE 8 (513)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/11&Racecourse=HV&RaceNo=9,HKJC,Results,2026-04-27T07:52:19.127985+00:00,2026-03-11-HV-9,514,2026-03-11,HV,9,LYTTELTON HANDICAP,Class 3,80-60,1800,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 2,050,000",12,Class 3 - 1800M - (80-60),RACE 9 (514)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/15&Racecourse=ST&RaceNo=2,HKJC,Results,2026-04-27T07:52:23.170677+00:00,2026-03-15-ST-2,516,2026-03-15,ST,2,SOUTH WALL HANDICAP,Class 5,40-0,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 875,000",12,Class 5 - 1200M - (40-0),RACE 2 (516)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/15&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:52:25.899581+00:00,2026-03-15-ST-3,517,2026-03-15,ST,3,NGA TSIN WAI HANDICAP,Class 4,60-40,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 3 (517)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/15&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:52:30.149590+00:00,2026-03-15-ST-4,518,2026-03-15,ST,4,NGA TSIN WAI HANDICAP,Class 4,60-40,1200,,"TURF - ""C+3"" Course",GOOD TO FIRM,"HK$ 1,170,000",12,Class 4 - 1200M - (60-40),RACE 4 (518)
https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/15&Racecourse=ST&RaceNo=5,HKJC,Results,2026-04-27T07:52:34.937749+00:00,2026-03-15-ST-5,519,2026-03-15,ST,5,NAM KOK HANDICAP,Class 4,60-40,1650,,ALL WEATHER TRACK,GOOD,"HK$ 1,170,000",14,Class 4 - 1650M - (60-40),RACE 5 (519)
